usub_id,usub,closest isub,isub 2
0,Topic 0: open source - vice president - law school - best practice - big data - web site,Higher Education,
1,Topic 1: running time - information visit - fly fishing - game throne - happy hour - book club,Hobbies,
2,Topic 2: facebook group - make money - youll learn - online business - resource mentioned - email list,Management & Marketing,
3,Topic 3: fantasy football - radio network - day trial - get first - blue apron - first order,Other Games,
4,Topic 4: research practice - bible church - god word - solar system - truth god - bible teaching,Christianity,
5,Topic 5: false false - style definition - definition tablemsonormaltable - msostylename table - msostylenoshow yes - tablemsonormaltable msostylename, ,
6,Topic 6: google play - content marketing - internet marketing - key point - tunein radio - domain name,Management & Marketing,
7,Topic 7: help show - dot com - walking dead - please consider - gmail dot - theme song,TV & Film,
8,Topic 8: please leave - de la - help people - show please - youre going - dont miss,,
9,Topic 9: week show - week talk - show week - live show - new show - joining u,News & Politics,
10,Topic 10: law attraction - life coach - bestselling author - guided meditation - change life - web site,Self Help,
11,Topic 11: la vega - pop culture - video game - nt forget - tweet u - topic include,Video Games,
12,Topic 12: wa going - dont know - could nt - many different - thought wa - thing like,,
13,Topic 13: follow u - please visit - nt forget - u facebook - visit u - visit website,,
14,Topic 14: interview dr - mental health - health care - medical school - dr david - public health,Medicine,
15,Topic 15: gon na - let get - welcome back - im going - click learn - two week,,
16,Topic 16: link mentioned - stitcher radio - today guest - martial art - facebook page - website facebook,,
17,Topic 17: comic book - news week - week discus - star war - new release - san diego,Visual Arts,
18,Topic 18: sport medicine - physical therapy - middle school - sport psychology - dr bill - gary leland,Fitness & Nutrition,
19,Topic 19: old time - time radio - radio sponsored - radio show - dvd old - classic tv,Performing Arts,
20,Topic 20: coffee break - premium version - full transcript - season lesson - limited resource - read full,,
21,Topic 21: also available - watch video - ham radio - know magic - national park - amateur radio,,
22,Topic 22: ha worked - ha also - state university - ha written - washington dc - latest book,Higher Education,
23,Topic 23: r feed - share experience - experience strength - strength hope - talk radio - email u,Self Help,
24,Topic 24: one another - teach u - around u - make u - click show - talk given,,
25,Topic 25: contact u - major spoiler - tell friend - sure visit - really appreciate - big thank,,
26,Topic 26: celtic music - comic book - medium marketing - note link - mitch joel - facebook ad,,TV & Film
27,Topic 27: continue reading - guy talk - season pas - facebook page - boston marathon - world championship,Professional (sports),
28,Topic 28: bestselling author - fitness trainer - ha also - fit love - fitness expert - tom interview,Fitness & Nutrition,
29,Topic 29: donald trump - hillary clinton - white house - supreme court - please show - president trump,News & Politics,
30,Topic 30: always welcome - ravelry group - video game - every week - xbox one - window powershell,Video Games,
31,Topic 31: small business - bestselling author - program wa - business owner - wa sponsored - founder ceo,Business News,Medicine
32,Topic 32: current event - god ha - join host - course miracle - jesus christ - holy spirit,Christianity,Spirituality
33,Topic 33: star war - fat guy - force awakens - rogue one - mentioned show - click link,TV & Film,
34,Topic 34: email u - leave u - facebook page - find u - send u - u feedback,,
35,Topic 35: air force - wa also - year later - new zealand - trend following - three year,Places & Travel,
36,Topic 36: guest today - share tip - today talk - personal finance - want learn - want miss,Investing,
37,Topic 37: walt disney - disney world - medical school - theme park - wdw radio - disney park,Kids & Family,
38,Topic 38: muslim central - short video - facebook channel - updated regularly - making lasting - channel short,Islam,
39,Topic 39: let know - please let - click play - mental game - next time - leave feedback,,
40,Topic 40: full show - air date - original air - youd like - u call - send email,,
41,Topic 41: u discus - week discus - u week - show discus - tune find - th pm,,
42,Topic 42: original mix - right reserved - extended mix - club mix - guest mix - laidback luke,Music,
43,Topic 43: someone else - many u - dont want - really want - many time - let go,,
44,Topic 44: th century - university press - world war - human right - civil war - guest discus,History,
45,Topic 45: desert island - science fiction - island disc - favourite track - short story - special thanks,Literature,
46,Topic 46: show link - click via - mountain bike - tip week - affiliate link - facebook page,Outdoor,
47,Topic 47: radio show - talk radio - attention deficit - adult child - internet radio - attention talk,Social Sciences,
48,Topic 48: real estate - estate investing - estate investor - cash flow - stock market - wall street,Investing,
49,Topic 49: apple watch - app store - facebook google+ - hd video - bandwidth show - thanks cachefly,Gadgets,
50,Topic 50: college football - head coach - super bowl - join show - look ahead - notre dame,College & High School,
51,Topic 51: weight loss - lose weight - fat loss - functional medicine - real food - jimmy moore,Fitness & Nutrition,
52,Topic 52: climate change - supreme court - law enforcement - executive director - middle east - health care,News & Politics,
53,Topic 53: appeared first - creative common - licensed creative - kevin macleod - read post - macleod incompetechcom,Music,
54,Topic 54: video game - board game - final fantasy - dharma talk - zen center - nt forget,Video Games,
55,Topic 55: true story - one time - loved one - serial killer - young woman - life death,Literature,
